time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,growth rate,growth,Population
0.0,0,100,0.25,0.25,0.1,10.0,100.0
0.25,0,100,0.25,0.25,0.1,10.25,102.5
0.5,0,100,0.25,0.25,0.1,10.506250000000001,105.0625
0.75,0,100,0.25,0.25,0.1,10.76890625,107.6890625
1.0,0,100,0.25,0.25,0.1,11.038128906250002,110.3812890625
1.25,0,100,0.25,0.25,0.1,11.31408212890625,113.1408212890625
1.5,0,100,0.25,0.25,0.1,11.596934182128907,115.96934182128906
1.75,0,100,0.25,0.25,0.1,11.886857536682129,118.86857536682129
2.0,0,100,0.25,0.25,0.1,12.184028975099181,121.84028975099181
2.25,0,100,0.25,0.25,0.1,12.488629699476661,124.88629699476661
2.5,0,100,0.25,0.25,0.1,12.800845441963578,128.00845441963577
2.75,0,100,0.25,0.25,0.1,13.120866578012667,131.20866578012667
3.0,0,100,0.25,0.25,0.1,13.448888242462983,134.48888242462982
3.25,0,100,0.25,0.25,0.1,13.785110448524557,137.85110448524557
3.5,0,100,0.25,0.25,0.1,14.12973820973767,141.2973820973767
3.75,0,100,0.25,0.25,0.1,14.48298166498111,144.8298166498111
4.0,0,100,0.25,0.25,0.1,14.84505620660564,148.4505620660564
4.25,0,100,0.25,0.25,0.1,15.21618261177078,152.1618261177078
4.5,0,100,0.25,0.25,0.1,15.59658717706505,155.9658717706505
4.75,0,100,0.25,0.25,0.1,15.986501856491678,159.86501856491677
5.0,0,100,0.25,0.25,0.1,16.38616440290397,163.8616440290397
5.25,0,100,0.25,0.25,0.1,16.79581851297657,167.9581851297657
5.5,0,100,0.25,0.25,0.1,17.215713975800984,172.15713975800983
5.75,0,100,0.25,0.25,0.1,17.64610682519601,176.46106825196009
6.0,0,100,0.25,0.25,0.1,18.08725949582591,180.8725949582591
6.25,0,100,0.25,0.25,0.1,18.53944098322156,185.3944098322156
6.5,0,100,0.25,0.25,0.1,19.002927007802096,190.02927007802097
6.75,0,100,0.25,0.25,0.1,19.47800018299715,194.7800018299715
7.0,0,100,0.25,0.25,0.1,19.96495018757208,199.64950187572077
7.25,0,100,0.25,0.25,0.1,20.46407394226138,204.6407394226138
7.5,0,100,0.25,0.25,0.1,20.975675790817917,209.75675790817914
7.75,0,100,0.25,0.25,0.1,21.500067685588363,215.00067685588363
8.0,0,100,0.25,0.25,0.1,22.037569377728076,220.37569377728073
8.25,0,100,0.25,0.25,0.1,22.588508612171278,225.88508612171276
8.5,0,100,0.25,0.25,0.1,23.15322132747556,231.53221327475558
8.75,0,100,0.25,0.25,0.1,23.732051860662448,237.32051860662446
9.0,0,100,0.25,0.25,0.1,24.32535315717901,243.25353157179006
9.25,0,100,0.25,0.25,0.1,24.933486986108484,249.33486986108483
9.5,0,100,0.25,0.25,0.1,25.556824160761195,255.56824160761195
9.75,0,100,0.25,0.25,0.1,26.19574476478023,261.95744764780227
10.0,0,100,0.25,0.25,0.1,26.850638383899735,268.50638383899735
10.25,0,100,0.25,0.25,0.1,27.521904343497226,275.21904343497226
10.5,0,100,0.25,0.25,0.1,28.20995195208466,282.09951952084657
10.75,0,100,0.25,0.25,0.1,28.915200750886772,289.1520075088677
11.0,0,100,0.25,0.25,0.1,29.63808076965894,296.3808076965894
11.25,0,100,0.25,0.25,0.1,30.379032788900414,303.7903278890041
11.5,0,100,0.25,0.25,0.1,31.13850860862292,311.3850860862292
11.75,0,100,0.25,0.25,0.1,31.916971323838496,319.16971323838493
12.0,0,100,0.25,0.25,0.1,32.714895606934455,327.14895606934454
12.25,0,100,0.25,0.25,0.1,33.53276799710782,335.32767997107817
12.5,0,100,0.25,0.25,0.1,34.371087197035514,343.71087197035513
12.75,0,100,0.25,0.25,0.1,35.2303643769614,352.303643769614
13.0,0,100,0.25,0.25,0.1,36.11112348638544,361.11123486385435
13.25,0,100,0.25,0.25,0.1,37.01390157354507,370.1390157354507
13.5,0,100,0.25,0.25,0.1,37.9392491128837,379.392491128837
13.75,0,100,0.25,0.25,0.1,38.887730340705794,388.8773034070579
14.0,0,100,0.25,0.25,0.1,39.859923599223436,398.59923599223436
14.25,0,100,0.25,0.25,0.1,40.856421689204026,408.56421689204024
14.5,0,100,0.25,0.25,0.1,41.87783223143413,418.77832231434127
14.75,0,100,0.25,0.25,0.1,42.92477803721999,429.2477803721998
15.0,0,100,0.25,0.25,0.1,43.997897488150485,439.9789748815048
15.25,0,100,0.25,0.25,0.1,45.09784492535425,450.97844925354246
15.5,0,100,0.25,0.25,0.1,46.2252910484881,462.252910484881
15.75,0,100,0.25,0.25,0.1,47.380923324700305,473.809233247003
16.0,0,100,0.25,0.25,0.1,48.56544640781781,485.6544640781781
