time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,downwelling rate,remin rate,uptake rate,upwelling rate,downwelling,remin,uptake,upwelling,Deep N,Surface N
0.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,3.0,20.0,4.0,30.0,1000.0,100.0
0.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,3.1725,19.965,4.23,29.947499999999998,998.25,105.75
0.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,3.3415875,19.93095,4.45545,29.896425,996.5475,111.38625
0.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,3.50733290625,19.8978305625,4.676443875,29.84674584375,994.891528125,116.911096875
1.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,3.66980517421875,19.865622650625,4.893073565625,29.7984339759375,993.28113253125,122.326839140625
1.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,3.829071838489453,19.834307619869534,5.1054291179859375,29.751461429804298,991.7153809934766,127.63572794964844
1.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,3.9851990420394197,19.803867210012307,5.3135987227192265,29.70580081501846,990.1933605006153,132.83996806798066
1.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,4.138251564916368,19.774283537197473,5.517668753221825,29.661425305796207,988.7141768598736,137.94171883054562
2.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,4.288292852323804,19.74553908617906,5.717723803098405,29.61830862926859,987.276954308953,142.94309507746013
2.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,4.435385042127652,19.71761670272523,5.913846722836869,29.576425054087846,985.8808351362616,147.84616807092172
2.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,4.579588991796077,19.690499586179058,6.106118655728102,29.535749379268584,984.5249793089529,152.65296639320255
2.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,4.72096430478416,19.66417128217259,6.2946190730455465,29.496256923258883,983.2085641086295,157.36547682613866
3.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,4.8595693563748785,19.63861567549108,6.479425808499839,29.45792351323662,981.930783774554,161.98564521249597
3.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,4.995461318987593,19.613816983084227,6.660615091983458,29.42072547462634,980.6908491542114,166.51537729958645
3.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,5.128696186965008,19.589759747221457,6.838261582620011,29.384639620832182,979.4879873610728,170.95653956550026
3.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,5.259328800849361,19.56642882878823,7.012438401132482,29.349643243182342,978.3214414394114,175.31096002831205
4.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,5.387412871158365,19.543809400720505,7.183217161544487,29.315714101080754,977.1904700360252,179.58042903861218
4.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,5.513001001671199,19.521886941574493,7.350668002228266,29.28283041236174,976.0943470787247,183.76670005570665
4.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,5.636144712234667,19.500647229228914,7.514859616312889,29.25097084384337,975.0323614614457,187.87149040782222
4.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,5.756894461099385,19.480076334717015,7.675859281465847,29.22011450207552,974.0038167358507,191.89648203664618
5.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,5.875299666795712,19.46016061618572,7.8337328890609506,29.190240924278577,973.008030809286,195.84332222652375
5.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,5.991408729558876,19.440886712979236,7.988544972745169,29.16133006946885,972.0443356489617,199.71362431862923
5.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,6.105269052312613,19.42224153984458,8.140358736416818,29.13336230976687,971.112076992229,203.50896841042044
5.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,6.216927061220394,19.404212281256534,8.289236081627193,29.106318421884797,970.2106140628266,207.2309020406798
6.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,6.326428225813173,19.386786385859494,8.435237634417565,29.080179578789238,969.3393192929747,210.88094086043913
6.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,6.433817078702362,19.36995156102391,8.578422771603151,29.054927341535866,968.4975780511955,214.46056929007875
6.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,6.53913723488659,19.35369576751486,8.718849646515453,29.030543651272293,967.6847883757431,217.97124116288634
6.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,6.642431410660617,19.338007214270508,8.856575214214157,29.00701082140576,966.9003607135254,221.4143803553539
7.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,6.743741442134599,19.322874353288135,8.991655256179467,28.9843115299322,966.1437176644067,224.79138140448666
7.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,6.843108303371735,19.30828587461559,9.124144404495647,28.96242881192338,965.4142937307794,228.10361011239118
7.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,6.940572124152155,19.29423070144591,9.254096165536208,28.94134605216886,964.7115350722954,231.35240413840518
7.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,7.036172207370759,19.280697985313054,9.381562943161013,28.92104697796958,964.0348992656527,234.5390735790253
8.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,7.129947046076542,19.267677101386624,9.50659606143539,28.901515652079937,963.3838550693313,237.66490153588475
8.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,7.221934340160802,19.255157643863544,9.62924578688107,28.88273646579531,962.7578821931771,240.73114467202674
8.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,7.312171012701453,19.243129421454686,9.749561350268605,28.86469413218203,962.1564710727343,243.73903375671512
8.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,7.400693225970543,19.23158245296456,9.867590967960725,28.847373679446836,961.5791226482279,246.6897741990181
9.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,7.48753639711191,19.220506962962,9.98338186281588,28.830760444442998,961.0253481481,249.584546570397
9.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,7.572735213495774,19.209893377540155,10.096980284661033,28.81484006631023,960.4946688770077,252.4245071165258
9.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,7.656323647756924,19.199732320163783,10.208431530342565,28.799598480245674,959.9866160081891,255.21078825856415
9.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,7.73833497252302,19.19001460760216,10.317779963364028,28.785021911403234,959.5007303801078,257.9444990841007
10.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,7.818801774839391,19.18073124594577,10.42506903311919,28.77109686891865,959.0365622972884,260.6267258279797
10.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,7.8977559702965925,19.1718734267051,10.53034129372879,28.757810140057646,958.593671335255,263.25853234321977
10.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,7.975228816866835,19.16343252298982,10.633638422489113,28.74514878448473,958.171626149491,265.84096056222785
10.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,8.0512509284553,19.15540008576668,10.7350012379404,28.73310012865002,957.770004288334,268.37503094851
11.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,8.125852288172208,19.14776784019454,10.834469717562945,28.72165176029181,957.388392009727,270.8617429390736
11.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,8.199062261331385,19.140527682034914,10.932083015108512,28.71079152305237,957.0263841017457,273.3020753777128
11.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,8.270909608180979,19.133671674136487,11.027879477574638,28.700507511204727,956.6835837068243,275.69698693936596
11.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,8.341422496371848,19.12719204299205,11.12189666182913,28.69078806448807,956.3596021496024,278.04741654572825
12.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,8.410628513169002,19.121081175366427,11.214171350892002,28.68162176304964,956.0540587683214,280.35428377230005
12.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,8.478554677411415,19.115331614993856,11.304739569881887,28.672997422490784,955.7665807496928,282.6184892470472
12.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,8.545227451225395,19.10993605934343,11.393636601633862,28.664904089015142,955.4968029671714,284.84091504084654
12.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,8.610672751496566,19.104887356451197,11.48089700199542,28.657331034676794,955.2443678225599,287.0224250498855
13.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,8.674915961105452,19.100178501817553,11.56655461480727,28.650267752726325,955.0089250908776,289.1638653701817
13.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,8.737981939931553,19.095802635368536,11.650642586575405,28.643703953052803,954.7901317684268,291.2660646643851
13.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,8.799895035630646,19.091753038479773,11.733193380840863,28.63762955771966,954.5876519239887,293.32983452102155
