Years,Atmosphere C,Land C,photosynthesis,photosynthesis rate,respiration,respiration rate
0,800,2000,40,0.05,40,0.02
0.25,800,2000,40,0.05,40,0.02
0.5,800,2000,40,0.05,40,0.02
0.75,800,2000,40,0.05,40,0.02
1,800,2000,40,0.05,40,0.02
1.25,800,2000,40,0.05,40,0.02
1.5,800,2000,40,0.05,40,0.02
1.75,800,2000,40,0.05,40,0.02
2,800,2000,40,0.05,40,0.02
2.25,800,2000,40,0.05,40,0.02
2.5,800,2000,40,0.05,40,0.02
2.75,800,2000,40,0.05,40,0.02
3,800,2000,40,0.05,40,0.02
3.25,800,2000,40,0.05,40,0.02
3.5,800,2000,40,0.05,40,0.02
3.75,800,2000,40,0.05,40,0.02
4,800,2000,40,0.05,40,0.02
4.25,800,2000,40,0.05,40,0.02
4.5,800,2000,40,0.05,40,0.02
4.75,800,2000,40,0.05,40,0.02
5,800,2000,40,0.05,40,0.02
5.25,800,2000,40,0.05,40,0.02
5.5,800,2000,40,0.05,40,0.02
5.75,800,2000,40,0.05,40,0.02
6,800,2000,40,0.05,40,0.02
6.25,800,2000,40,0.05,40,0.02
6.5,800,2000,40,0.05,40,0.02
6.75,800,2000,40,0.05,40,0.02
7,800,2000,40,0.05,40,0.02
7.25,800,2000,40,0.05,40,0.02
7.5,800,2000,40,0.05,40,0.02
7.75,800,2000,40,0.05,40,0.02
8,800,2000,40,0.05,40,0.02
8.25,800,2000,40,0.05,40,0.02
8.5,800,2000,40,0.05,40,0.02
8.75,800,2000,40,0.05,40,0.02
9,800,2000,40,0.05,40,0.02
9.25,800,2000,40,0.05,40,0.02
9.5,800,2000,40,0.05,40,0.02
9.75,800,2000,40,0.05,40,0.02
10,800,2000,40,0.05,40,0.02
10.25,800,2000,40,0.05,40,0.02
10.5,800,2000,40,0.05,40,0.02
10.75,800,2000,40,0.05,40,0.02
11,800,2000,40,0.05,40,0.02
11.25,800,2000,40,0.05,40,0.02
11.5,800,2000,40,0.05,40,0.02
11.75,800,2000,40,0.05,40,0.02
12,800,2000,40,0.05,40,0.02
12.25,800,2000,40,0.05,40,0.02
12.5,800,2000,40,0.05,40,0.02
12.75,800,2000,40,0.05,40,0.02
13,800,2000,40,0.05,40,0.02
13.25,800,2000,40,0.05,40,0.02
13.5,800,2000,40,0.05,40,0.02
13.75,800,2000,40,0.05,40,0.02
14,800,2000,40,0.05,40,0.02
14.25,800,2000,40,0.05,40,0.02
14.5,800,2000,40,0.05,40,0.02
14.75,800,2000,40,0.05,40,0.02
15,800,2000,40,0.05,40,0.02
15.25,800,2000,40,0.05,40,0.02
15.5,800,2000,40,0.05,40,0.02
15.75,800,2000,40,0.05,40,0.02
16,800,2000,40,0.05,40,0.02
16.25,800,2000,40,0.05,40,0.02
16.5,800,2000,40,0.05,40,0.02
16.75,800,2000,40,0.05,40,0.02
17,800,2000,40,0.05,40,0.02
17.25,800,2000,40,0.05,40,0.02
17.5,800,2000,40,0.05,40,0.02
17.75,800,2000,40,0.05,40,0.02
18,800,2000,40,0.05,40,0.02
18.25,800,2000,40,0.05,40,0.02
18.5,800,2000,40,0.05,40,0.02
18.75,800,2000,40,0.05,40,0.02
19,800,2000,40,0.05,40,0.02
19.25,800,2000,40,0.05,40,0.02
19.5,800,2000,40,0.05,40,0.02
19.75,800,2000,40,0.05,40,0.02
20,800,2000,40,0.05,40,0.02
20.25,800,2000,40,0.05,40,0.02
20.5,800,2000,40,0.05,40,0.02
20.75,800,2000,40,0.05,40,0.02
21,800,2000,40,0.05,40,0.02
21.25,800,2000,40,0.05,40,0.02
21.5,800,2000,40,0.05,40,0.02
21.75,800,2000,40,0.05,40,0.02
22,800,2000,40,0.05,40,0.02
22.25,800,2000,40,0.05,40,0.02
22.5,800,2000,40,0.05,40,0.02
22.75,800,2000,40,0.05,40,0.02
23,800,2000,40,0.05,40,0.02
23.25,800,2000,40,0.05,40,0.02
23.5,800,2000,40,0.05,40,0.02
23.75,800,2000,40,0.05,40,0.02
24,800,2000,40,0.05,40,0.02
24.25,800,2000,40,0.05,40,0.02
24.5,800,2000,40,0.05,40,0.02
24.75,800,2000,40,0.05,40,0.02
25,800,2000,40,0.05,40,0.02
25.25,800,2000,40,0.05,40,0.02
25.5,800,2000,40,0.05,40,0.02
25.75,800,2000,40,0.05,40,0.02
26,800,2000,40,0.05,40,0.02
26.25,800,2000,40,0.05,40,0.02
26.5,800,2000,40,0.05,40,0.02
26.75,800,2000,40,0.05,40,0.02
27,800,2000,40,0.05,40,0.02
27.25,800,2000,40,0.05,40,0.02
27.5,800,2000,40,0.05,40,0.02
27.75,800,2000,40,0.05,40,0.02
28,800,2000,40,0.05,40,0.02
28.25,800,2000,40,0.05,40,0.02
28.5,800,2000,40,0.05,40,0.02
28.75,800,2000,40,0.05,40,0.02
29,800,2000,40,0.05,40,0.02
29.25,800,2000,40,0.05,40,0.02
29.5,800,2000,40,0.05,40,0.02
29.75,800,2000,40,0.05,40,0.02
30,800,2000,40,0.05,40,0.02
30.25,800,2000,40,0.05,40,0.02
30.5,800,2000,40,0.05,40,0.02
30.75,800,2000,40,0.05,40,0.02
31,800,2000,40,0.05,40,0.02
31.25,800,2000,40,0.05,40,0.02
31.5,800,2000,40,0.05,40,0.02
31.75,800,2000,40,0.05,40,0.02
32,800,2000,40,0.05,40,0.02
32.25,800,2000,40,0.05,40,0.02
32.5,800,2000,40,0.05,40,0.02
32.75,800,2000,40,0.05,40,0.02
33,800,2000,40,0.05,40,0.02
33.25,800,2000,40,0.05,40,0.02
33.5,800,2000,40,0.05,40,0.02
33.75,800,2000,40,0.05,40,0.02
34,800,2000,40,0.05,40,0.02
34.25,800,2000,40,0.05,40,0.02
34.5,800,2000,40,0.05,40,0.02
34.75,800,2000,40,0.05,40,0.02
35,800,2000,40,0.05,40,0.02
35.25,800,2000,40,0.05,40,0.02
35.5,800,2000,40,0.05,40,0.02
35.75,800,2000,40,0.05,40,0.02
36,800,2000,40,0.05,40,0.02
36.25,800,2000,40,0.05,40,0.02
36.5,800,2000,40,0.05,40,0.02
36.75,800,2000,40,0.05,40,0.02
37,800,2000,40,0.05,40,0.02
