Years,growth,growth rate,Population
0,10,0.1,100
0.25,10.25,0.1,102.5
0.5,10.50625,0.1,105.0625
0.75,10.76890625,0.1,107.6890625
1,11.0381289063,0.1,110.381289063
1.25,11.3140821289,0.1,113.140821289
1.5,11.5969341821,0.1,115.969341821
1.75,11.8868575367,0.1,118.868575367
2,12.1840289751,0.1,121.840289751
2.25,12.4886296995,0.1,124.886296995
2.5,12.800845442,0.1,128.00845442
2.75,13.120866578,0.1,131.20866578
3,13.4488882425,0.1,134.488882425
3.25,13.7851104485,0.1,137.851104485
3.5,14.1297382097,0.1,141.297382097
3.75,14.482981665,0.1,144.82981665
4,14.8450562066,0.1,148.450562066
4.25,15.2161826118,0.1,152.161826118
4.5,15.5965871771,0.1,155.965871771
4.75,15.9865018565,0.1,159.865018565
5,16.3861644029,0.1,163.861644029
5.25,16.795818513,0.1,167.95818513
5.5,17.2157139758,0.1,172.157139758
5.75,17.6461068252,0.1,176.461068252
6,18.0872594958,0.1,180.872594958
6.25,18.5394409832,0.1,185.394409832
6.5,19.0029270078,0.1,190.029270078
6.75,19.478000183,0.1,194.78000183
7,19.9649501876,0.1,199.649501876
7.25,20.4640739423,0.1,204.640739423
7.5,20.9756757908,0.1,209.756757908
7.75,21.5000676856,0.1,215.000676856
8,22.0375693777,0.1,220.375693777
8.25,22.5885086122,0.1,225.885086122
8.5,23.1532213275,0.1,231.532213275
8.75,23.7320518607,0.1,237.320518607
9,24.3253531572,0.1,243.253531572
9.25,24.9334869861,0.1,249.334869861
9.5,25.5568241608,0.1,255.568241608
9.75,26.1957447648,0.1,261.957447648
10,26.8506383839,0.1,268.506383839
10.25,27.5219043435,0.1,275.219043435
10.5,28.2099519521,0.1,282.099519521
10.75,28.9152007509,0.1,289.152007509
11,29.6380807697,0.1,296.380807697
11.25,30.3790327889,0.1,303.790327889
11.5,31.1385086086,0.1,311.385086086
11.75,31.9169713238,0.1,319.169713238
12,32.7148956069,0.1,327.148956069
12.25,33.5327679971,0.1,335.327679971
12.5,34.371087197,0.1,343.71087197
12.75,35.230364377,0.1,352.30364377
13,36.1111234864,0.1,361.111234864
13.25,37.0139015735,0.1,370.139015735
13.5,37.9392491129,0.1,379.392491129
13.75,38.8877303407,0.1,388.877303407
14,39.8599235992,0.1,398.599235992
14.25,40.8564216892,0.1,408.564216892
14.5,41.8778322314,0.1,418.778322314
14.75,42.9247780372,0.1,429.247780372
15,43.9978974882,0.1,439.978974882
15.25,45.0978449254,0.1,450.978449254
15.5,46.2252910485,0.1,462.252910485
15.75,47.3809233247,0.1,473.809233247
16,48.5654464078,0.1,485.654464078
16.25,49.779582568,0.1,497.79582568
16.5,51.0240721322,0.1,510.240721322
16.75,52.2996739355,0.1,522.996739355
17,53.6071657839,0.1,536.071657839
17.25,54.9473449285,0.1,549.473449285
17.5,56.3210285517,0.1,563.210285517
17.75,57.7290542655,0.1,577.290542655
18,59.1722806221,0.1,591.722806221
18.25,60.6515876377,0.1,606.515876377
18.5,62.1678773286,0.1,621.678773286
18.75,63.7220742619,0.1,637.220742619
19,65.3151261184,0.1,653.151261184
19.25,66.9480042714,0.1,669.480042714
19.5,68.6217043782,0.1,686.217043782
19.75,70.3372469876,0.1,703.372469876
20,72.0956781623,0.1,720.956781623
20.25,73.8980701164,0.1,738.980701164
20.5,75.7455218693,0.1,757.455218693
20.75,77.639159916,0.1,776.39159916
21,79.5801389139,0.1,795.801389139
21.25,81.5696423867,0.1,815.696423867
21.5,83.6088834464,0.1,836.088834464
21.75,85.6991055326,0.1,856.991055326
22,87.8415831709,0.1,878.415831709
22.25,90.0376227502,0.1,900.376227502
22.5,92.2885633189,0.1,922.885633189
22.75,94.5957774019,0.1,945.957774019
23,96.9606718369,0.1,969.606718369
23.25,99.3846886329,0.1,993.846886329
23.5,101.869305849,0.1,1018.69305849
23.75,104.416038495,0.1,1044.16038495
24,107.026439457,0.1,1070.26439457
24.25,109.702100444,0.1,1097.02100444
24.5,112.444652955,0.1,1124.44652955
24.75,115.255769279,0.1,1152.55769279
25,118.137163511,0.1,1181.37163511
25.25,121.090592598,0.1,1210.90592598
25.5,124.117857413,0.1,1241.17857413
25.75,127.220803849,0.1,1272.20803849
26,130.401323945,0.1,1304.01323945
26.25,133.661357044,0.1,1336.61357044
26.5,137.00289097,0.1,1370.0289097
26.75,140.427963244,0.1,1404.27963244
