Years,predation,predation rate,Predator,predator births,predator death rate,predator deaths,predator efficiency,Prey,prey birth rate,prey births
0,40,0.02,20,0.4,0.4,8,0.01,100,0.5,50
0.25,37.105,0.02,18.1,0.37105,0.4,7.24,0.01,102.5,0.5,51.25
0.5,34.7433340028,0.02,16.3827625,0.347433340028,0.4,6.553105,0.01,106.03625,0.5,53.018125
0.75,32.8084018575,0.02,14.831344585,0.328084018575,0.4,5.932537834,0.01,110.604947749,0.5,55.3024738746
1,31.2195031818,0.02,13.4302311312,0.312195031818,0.4,5.37209245246,0.01,116.228465754,0.5,58.1142328768
1.25,29.9148890747,0.02,12.165256776,0.299148890747,0.4,4.8661027104,0.01,122.952148177,0.5,61.4760740887
1.5,28.8468816672,0.02,11.0235183211,0.288468816672,0.4,4.40940732843,0.01,130.842444431,0.5,65.4212222154
1.75,27.978402131,0.02,9.99328369314,0.27978402131,0.4,3.99731347726,0.01,139.986029568,0.5,69.9930147839
2,27.2804727066,0.02,9.06390132915,0.272804727066,0.4,3.62556053166,0.01,150.489682731,0.5,75.2448413656
2.25,26.730402425,0.02,8.225712378,0.26730402425,0.4,3.2902849512,0.01,162.480774896,0.5,81.2403874479
2.5,26.3104599938,0.02,7.46996714626,0.263104599938,0.4,2.98798685851,0.01,176.108271152,0.5,88.0541355758
2.75,26.0068993082,0.02,6.78874658162,0.260068993082,0.4,2.71549863265,0.01,191.544190047,0.5,95.7720950236
3,25.8092446585,0.02,6.17488917173,0.258092446585,0.4,2.46995566869,0.01,208.985488976,0.5,104.492744488
3.25,25.7097711046,0.02,5.6219233662,0.257097711046,0.4,2.24876934648,0.01,228.656363933,0.5,114.328181967
3.5,25.7031352374,0.02,5.12400545735,0.257031352374,0.4,2.04960218294,0.01,250.810966649,0.5,125.405483324
3.75,25.7861256008,0.02,4.6758627497,0.257861256008,0.4,1.87034509988,0.01,275.736553671,0.5,137.868276835
4,25.9575123678,0.02,4.27274178874,0.259575123678,0.4,1.70909671549,0.01,303.757091479,0.5,151.87854574
4.25,26.2179837898,0.02,3.91036139078,0.262179837898,0.4,1.56414455631,0.01,335.237349822,0.5,167.618674911
4.5,26.5701634082,0.02,3.58487021118,0.265701634082,0.4,1.43394808447,0.01,370.587522602,0.5,185.293761301
4.75,27.0187077587,0.02,3.29280859858,0.270187077587,0.4,1.31712343943,0.01,410.268422076,0.5,205.134211038
5,27.5704899203,0.02,3.03107450812,0.275704899203,0.4,1.21242980325,0.01,454.797297895,0.5,227.398648948
5.25,28.2348803219,0.02,2.79689328211,0.282348803219,0.4,1.11875731284,0.01,504.754337652,0.5,252.377168826
