Years,Deep N,downwelling,downwelling rate,remin,remin rate,Surface N,uptake,uptake rate,upwelling,upwelling rate
0,1000,3,0.03,20,0.02,100,4,0.04,30,0.03
0.25,998.25,3.1725,0.03,19.965,0.02,105.75,4.23,0.04,29.9475,0.03
0.5,996.5475,3.3415875,0.03,19.93095,0.02,111.38625,4.45545,0.04,29.896425,0.03
0.75,994.891528125,3.50733290625,0.03,19.8978305625,0.02,116.911096875,4.676443875,0.04,29.8467458438,0.03
1,993.281132531,3.66980517422,0.03,19.8656226506,0.02,122.326839141,4.89307356563,0.04,29.7984339759,0.03
1.25,991.715380993,3.82907183849,0.03,19.8343076199,0.02,127.63572795,5.10542911799,0.04,29.7514614298,0.03
1.5,990.193360501,3.98519904204,0.03,19.80386721,0.02,132.839968068,5.31359872272,0.04,29.705800815,0.03
1.75,988.71417686,4.13825156492,0.03,19.7742835372,0.02,137.941718831,5.51766875322,0.04,29.6614253058,0.03
2,987.276954309,4.28829285232,0.03,19.7455390862,0.02,142.943095077,5.7177238031,0.04,29.6183086293,0.03
2.25,985.880835136,4.43538504213,0.03,19.7176167027,0.02,147.846168071,5.91384672284,0.04,29.5764250541,0.03
2.5,984.524979309,4.5795889918,0.03,19.6904995862,0.02,152.652966393,6.10611865573,0.04,29.5357493793,0.03
2.75,983.208564109,4.72096430478,0.03,19.6641712822,0.02,157.365476826,6.29461907305,0.04,29.4962569233,0.03
3,981.930783775,4.85956935637,0.03,19.6386156755,0.02,161.985645212,6.4794258085,0.04,29.4579235132,0.03
3.25,980.690849154,4.99546131899,0.03,19.6138169831,0.02,166.5153773,6.66061509198,0.04,29.4207254746,0.03
3.5,979.487987361,5.12869618697,0.03,19.5897597472,0.02,170.956539566,6.83826158262,0.04,29.3846396208,0.03
3.75,978.321441439,5.25932880085,0.03,19.5664288288,0.02,175.310960028,7.01243840113,0.04,29.3496432432,0.03
4,977.190470036,5.38741287116,0.03,19.5438094007,0.02,179.580429039,7.18321716154,0.04,29.3157141011,0.03
4.25,976.094347079,5.51300100167,0.03,19.5218869416,0.02,183.766700056,7.35066800223,0.04,29.2828304124,0.03
4.5,975.032361461,5.63614471223,0.03,19.5006472292,0.02,187.871490408,7.51485961631,0.04,29.2509708438,0.03
4.75,974.003816736,5.7568944611,0.03,19.4800763347,0.02,191.896482037,7.67585928147,0.04,29.2201145021,0.03
5,973.008030809,5.8752996668,0.03,19.4601606162,0.02,195.843322227,7.83373288906,0.04,29.1902409243,0.03
5.25,972.044335649,5.99140872956,0.03,19.440886713,0.02,199.713624319,7.98854497275,0.04,29.1613300695,0.03
5.5,971.112076992,6.10526905231,0.03,19.4222415398,0.02,203.50896841,8.14035873642,0.04,29.1333623098,0.03
5.75,970.210614063,6.21692706122,0.03,19.4042122813,0.02,207.230902041,8.28923608163,0.04,29.1063184219,0.03
6,969.339319293,6.32642822581,0.03,19.3867863859,0.02,210.88094086,8.43523763442,0.04,29.0801795788,0.03
6.25,968.497578051,6.4338170787,0.03,19.369951561,0.02,214.46056929,8.5784227716,0.04,29.0549273415,0.03
6.5,967.684788376,6.53913723489,0.03,19.3536957675,0.02,217.971241163,8.71884964652,0.04,29.0305436513,0.03
6.75,966.900360714,6.64243141066,0.03,19.3380072143,0.02,221.414380355,8.85657521421,0.04,29.0070108214,0.03
7,966.143717664,6.74374144213,0.03,19.3228743533,0.02,224.791381404,8.99165525618,0.04,28.9843115299,0.03
7.25,965.414293731,6.84310830337,0.03,19.3082858746,0.02,228.103610112,9.1241444045,0.04,28.9624288119,0.03
7.5,964.711535072,6.94057212415,0.03,19.2942307014,0.02,231.352404138,9.25409616554,0.04,28.9413460522,0.03
7.75,964.034899266,7.03617220737,0.03,19.2806979853,0.02,234.539073579,9.38156294316,0.04,28.921046978,0.03
8,963.383855069,7.12994704608,0.03,19.2676771014,0.02,237.664901536,9.50659606144,0.04,28.9015156521,0.03
8.25,962.757882193,7.22193434016,0.03,19.2551576439,0.02,240.731144672,9.62924578688,0.04,28.8827364658,0.03
8.5,962.156471073,7.3121710127,0.03,19.2431294215,0.02,243.739033757,9.74956135027,0.04,28.8646941322,0.03
8.75,961.579122648,7.40069322597,0.03,19.231582453,0.02,246.689774199,9.86759096796,0.04,28.8473736794,0.03
9,961.025348148,7.48753639711,0.03,19.220506963,0.02,249.58454657,9.98338186282,0.04,28.8307604444,0.03
9.25,960.494668877,7.5727352135,0.03,19.2098933775,0.02,252.424507117,10.0969802847,0.04,28.8148400663,0.03
9.5,959.986616008,7.65632364776,0.03,19.1997323202,0.02,255.210788259,10.2084315303,0.04,28.7995984802,0.03
9.75,959.50073038,7.73833497252,0.03,19.1900146076,0.02,257.944499084,10.3177799634,0.04,28.7850219114,0.03
10,959.036562297,7.81880177484,0.03,19.1807312459,0.02,260.626725828,10.4250690331,0.04,28.7710968689,0.03
10.25,958.593671335,7.8977559703,0.03,19.1718734267,0.02,263.258532343,10.5303412937,0.04,28.7578101401,0.03
10.5,958.171626149,7.97522881687,0.03,19.163432523,0.02,265.840960562,10.6336384225,0.04,28.7451487845,0.03
10.75,957.770004288,8.05125092846,0.03,19.1554000858,0.02,268.375030949,10.7350012379,0.04,28.7331001287,0.03
11,957.38839201,8.12585228817,0.03,19.1477678402,0.02,270.861742939,10.8344697176,0.04,28.7216517603,0.03
11.25,957.026384102,8.19906226133,0.03,19.140527682,0.02,273.302075378,10.9320830151,0.04,28.7107915231,0.03
11.5,956.683583707,8.27090960818,0.03,19.1336716741,0.02,275.696986939,11.0278794776,0.04,28.7005075112,0.03
11.75,956.35960215,8.34142249637,0.03,19.127192043,0.02,278.047416546,11.1218966618,0.04,28.6907880645,0.03
12,956.054058768,8.41062851317,0.03,19.1210811754,0.02,280.354283772,11.2141713509,0.04,28.681621763,0.03
12.25,955.76658075,8.47855467741,0.03,19.115331615,0.02,282.618489247,11.3047395699,0.04,28.6729974225,0.03
12.5,955.496802967,8.54522745123,0.03,19.1099360593,0.02,284.840915041,11.3936366016,0.04,28.664904089,0.03
12.75,955.244367823,8.6106727515,0.03,19.1048873565,0.02,287.02242505,11.480897002,0.04,28.6573310347,0.03
13,955.008925091,8.67491596111,0.03,19.1001785018,0.02,289.16386537,11.5665546148,0.04,28.6502677527,0.03
13.25,954.790131768,8.73798193993,0.03,19.0958026354,0.02,291.266064664,11.6506425866,0.04,28.6437039531,0.03
13.5,954.587651924,8.79989503563,0.03,19.0917530385,0.02,293.329834521,11.7331933808,0.04,28.6376295577,0.03
13.75,954.401156553,8.86067909419,0.03,19.0880231311,0.02,295.355969806,11.8142387923,0.04,28.6320346966,0.03
14,954.230323435,8.92035747027,0.03,19.0846064687,0.02,297.345249009,11.8938099604,0.04,28.6269097031,0.03
14.25,954.074836994,8.97895303731,0.03,19.0814967399,0.02,299.298434577,11.9719373831,0.04,28.6222451098,0.03
14.5,953.934388161,9.03648819748,0.03,19.0786877632,0.02,301.216273249,12.04865093,0.04,28.6180316448,0.03
14.75,953.80867424,9.09298489136,0.03,19.0761734848,0.02,303.099496379,12.1239798551,0.04,28.6142602272,0.03
15,953.697398777,9.14846460747,0.03,19.0739479755,0.02,304.948820249,12.19795281,0.04,28.6109219633,0.03
15.25,953.600271432,9.20294839156,0.03,19.0720054286,0.02,306.764946385,12.2705978554,0.04,28.608008143,0.03
15.5,953.517007852,9.25645685578,0.03,19.070340157,0.02,308.548561859,12.3419424744,0.04,28.6055102355,0.03
15.75,953.447329546,9.30901018757,0.03,19.0689465909,0.02,310.300339586,12.4120135834,0.04,28.6034198864,0.03
16,953.390963769,9.36062815844,0.03,19.0678192754,0.02,312.020938615,12.4808375446,0.04,28.6017289131,0.03
16.25,953.347643399,9.41133013251,0.03,19.066952868,0.02,313.711004417,12.5484401767,0.04,28.600429302,0.03
16.5,953.317106824,9.46113507496,0.03,19.0663421365,0.02,315.371169165,12.6148467666,0.04,28.5995132047,0.03
16.75,953.299097825,9.51006156018,0.03,19.0659819565,0.02,317.002052006,12.6800820802,0.04,28.5989729348,0.03
17,953.293365471,9.55812777989,0.03,19.0658673094,0.02,318.60425933,12.7441703732,0.04,28.5988009641,0.03
17.25,953.299664002,9.60535155097,0.03,19.06599328,0.02,320.178385032,12.8071354013,0.04,28.5989899201,0.03
17.5,953.31775273,9.65175032323,0.03,19.0663550546,0.02,321.725010774,12.869000431,0.04,28.5995325819,0.03
17.75,953.347395929,9.69734118694,0.03,19.0669479186,0.02,323.244706231,12.9297882492,0.04,28.6004218779,0.03
18,953.388362736,9.74214088025,0.03,19.0677672547,0.02,324.738029342,12.9895211737,0.04,28.6016508821,0.03
18.25,953.440427049,9.78616579646,0.03,19.068808541,0.02,326.205526549,13.0482210619,0.04,28.6032128115,0.03
18.5,953.50336743,9.82943199111,0.03,19.0700673486,0.02,327.647733037,13.1059093215,0.04,28.6051010229,0.03
18.75,953.57696701,9.87195518894,0.03,19.0715393402,0.02,329.065172965,13.1626069186,0.04,28.6073090103,0.03
19,953.661013389,9.91375079071,0.03,19.0732202678,0.02,330.45835969,13.2183343876,0.04,28.6098304017,0.03
19.25,953.755298554,9.95483387988,0.03,19.0751059711,0.02,331.827795996,13.2731118398,0.04,28.6126589566,0.03
19.5,953.859618777,9.99521922916,0.03,19.0771923755,0.02,333.173974305,13.3269589722,0.04,28.6157885633,0.03
19.75,953.973774538,10.0349213069,0.03,19.0794754908,0.02,334.497376896,13.3798950758,0.04,28.6192132361,0.03
20,954.097570428,10.0739542833,0.03,19.0819514086,0.02,335.798476109,13.4319390444,0.04,28.6229271128,0.03
20.25,954.230815073,10.1123320367,0.03,19.0846163015,0.02,337.077734555,13.4831093822,0.04,28.6269244522,0.03
20.5,954.373321044,10.1500681594,0.03,19.0874664209,0.02,338.335605314,13.5334242126,0.04,28.6311996313,0.03
20.75,954.524904781,10.1871759639,0.03,19.0904980956,0.02,339.572532129,13.5829012851,0.04,28.6357471434,0.03
