Years,Infected,infection,population total,Recovered,recovery,recovery rate,Susceptible,transmission rate
0,10,2.97,1000,0,1,0.1,990,0.3
0.25,10.4925,3.11393529562,1000,0.25,1.04925,0.1,989.2575,0.3
0.5,11.0086713239,3.2645521799,1000,0.5123125,1.10086713239,0.1,988.479016176,0.3
0.75,11.5495925858,3.42213115635,1000,0.787529283098,1.15495925858,0.1,987.662878131,0.3
1,12.1163855602,3.58696148095,1000,1.07626909774,1.21163855602,0.1,986.807345342,0.3
1.25,12.7102162915,3.75934110997,1000,1.37917873675,1.27102162915,0.1,985.910604972,0.3
1.5,13.3322961617,3.93957660364,1000,1.69693414403,1.33322961617,0.1,984.970769694,0.3
1.75,13.9838829085,4.12798298018,1000,2.03024154808,1.39838829085,0.1,983.985875543,0.3
2,14.6662815809,4.32488351464,1000,2.37983862079,1.46662815809,0.1,982.953879798,0.3
2.25,15.38084542,4.53060947669,1000,2.74649566031,1.538084542,0.1,981.87265892,0.3
2.5,16.1289766537,4.74549980069,1000,3.13101679581,1.61289766537,0.1,980.740006551,0.3
2.75,16.9121271875,4.96990068138,1000,3.53424121215,1.69121271875,0.1,979.5536316,0.3
3,17.7317991782,5.20416508787,1000,3.95704439184,1.77317991782,0.1,978.31115643,0.3
3.25,18.5895454707,5.44865218831,1000,4.40033937129,1.85895454707,0.1,977.010115158,0.3
3.5,19.486969881,5.70372667717,1000,4.86507800806,1.9486969881,0.1,975.647952111,0.3
3.75,20.4257273033,5.96975799671,1000,5.35225225509,2.04257273033,0.1,974.222020442,0.3
4,21.4075236199,6.24711944393,1000,5.86289543767,2.14075236199,0.1,972.729580942,0.3
4.25,22.4341153903,6.53618715385,1000,6.39808352816,2.24341153903,0.1,971.167801081,0.3
4.5,23.507309294,6.83733894995,1000,6.95893641292,2.3507309294,0.1,969.533754293,0.3
4.75,24.6289612992,7.15095305209,1000,7.54661914527,2.46289612992,0.1,967.824419556,0.3
5,25.8009755297,7.47740663245,1000,8.16234317775,2.58009755297,0.1,966.036681293,0.3
5.25,27.0253027996,7.81707420985,1000,8.807367566,2.70253027996,0.1,964.167329634,0.3
5.5,28.3039387821,8.17032587285,1000,9.48300013599,2.83039387821,0.1,962.213061082,0.3
5.75,29.6389217807,8.53752532243,1000,10.1905986055,2.96389217807,0.1,960.170479614,0.3
6,31.0323300668,8.91902772536,1000,10.9315716501,3.10323300668,0.1,958.036098283,0.3
6.25,32.4862787465,9.31517736984,1000,11.7073799017,3.24862787465,0.1,955.806341352,0.3
6.5,34.0029161203,9.72630511606,1000,12.5195368704,3.40029161203,0.1,953.477547009,0.3
6.75,35.5844194963,10.1527256348,1000,13.3696097734,3.55844194963,0.1,951.04597073,0.3
7,37.2329904176,10.5947344292,1000,14.2592202608,3.72329904176,0.1,948.507789322,0.3
7.25,38.9508492645,11.0526046356,1000,15.1900450212,3.89508492645,0.1,945.859105714,0.3
7.5,40.7402291918,11.5265836015,1000,16.1638162529,4.07402291918,0.1,943.095954555,0.3
7.75,42.6033693623,12.0168892414,1000,17.1823219826,4.26033693623,0.1,940.214308655,0.3
8,44.5425074386,12.5237061728,1000,18.2474062167,4.45425074386,0.1,937.210086345,0.3
8.25,46.5598712959,13.0471816382,1000,19.3609689027,4.65598712959,0.1,934.079159801,0.3
8.5,48.657669923,13.5874212226,1000,20.5249656851,4.8657669923,0.1,930.817364392,0.3
8.75,50.8380834806,14.1444843788,1000,21.7414074331,5.08380834806,0.1,927.420509086,0.3
9,53.1032524883,14.7183797776,1000,23.0123595202,5.31032524883,0.1,923.884387992,0.3
9.25,55.4552661205,15.3090605051,1000,24.3399408324,5.54552661205,0.1,920.204793047,0.3
9.5,57.8961495937,15.9164191323,1000,25.7263224854,5.78961495937,0.1,916.377527921,0.3
9.75,60.4278506369,16.5402826904,1000,27.1737262252,6.04278506369,0.1,912.398423138,0.3
10,63.0522250436,17.1804075896,1000,28.6844224911,6.30522250436,0.1,908.263352465,0.3
10.25,65.7710213149,17.8364745228,1000,30.2607281172,6.57710213149,0.1,903.968250568,0.3
10.5,68.5858644128,18.5080834083,1000,31.9050036501,6.85858644128,0.1,899.509131937,0.3
10.75,71.4982386545,19.1947484238,1000,33.6196502604,7.14982386545,0.1,894.882111085,0.3
11,74.5094697941,19.895893198,1000,35.4071062268,7.45094697941,0.1,890.083423979,0.3
11.25,77.6207063487,20.6108462273,1000,37.2698429716,7.76207063487,0.1,885.10945068,0.3
11.5,80.8329002469,21.3388365945,1000,39.2103606304,8.08329002469,0.1,879.956739123,0.3
11.75,84.1467868893,22.0789900695,1000,41.2311831365,8.41467868893,0.1,874.622029974,0.3
12,87.5628647345,22.8303256798,1000,43.3348528088,8.75628647345,0.1,869.102282457,0.3
12.25,91.081374536,23.5917528413,1000,45.5239244271,9.1081374536,0.1,863.394701037,0.3
12.5,94.7022783829,24.3620691437,1000,47.8009587905,9.47022783829,0.1,857.496762827,0.3
12.75,98.4252387093,25.1399588868,1000,50.1685157501,9.84252387093,0.1,851.406245541,0.3
13,102.249597463,25.9239924645,1000,52.6291467178,10.2249597463,0.1,845.121255819,0.3
13.25,106.174355643,26.7126266933,1000,55.1853866544,10.6174355643,0.1,838.640257703,0.3
13.5,110.198153425,27.5042061759,1000,57.8397455455,11.0198153425,0.1,831.962101029,0.3
13.75,114.319251133,28.2969657893,1000,60.5946993811,11.4319251133,0.1,825.086049485,0.3
14,118.535511302,29.0890343752,1000,63.4526806594,11.8535511302,0.1,818.011808038,0.3
14.25,122.844382114,29.878439702,1000,66.416068442,12.2844382114,0.1,810.739549444,0.3
14.5,127.242882486,30.6631147557,1000,69.4871779949,12.7242882486,0.1,803.269939519,0.3
14.75,131.727589113,31.4409053983,1000,72.668250057,13.1727589113,0.1,795.60416083,0.3
15,136.294625735,32.2095794175,1000,75.9614397848,13.6294625735,0.1,787.74393448,0.3
15.25,140.939654946,32.9668369677,1000,79.3688054282,14.0939654946,0.1,779.691539626,0.3
15.5,145.657872814,33.710322383,1000,82.8922968019,14.5657872814,0.1,771.449830384,0.3
15.75,150.44400659,34.4376373125,1000,86.5337436222,15.044400659,0.1,763.022249788,0.3
16,155.292315753,35.1463551086,1000,90.2948437869,15.5292315753,0.1,754.41284046,0.3
16.25,160.196596636,35.8340363647,1000,94.1771516808,16.0196596636,0.1,745.626251683,0.3
16.5,165.150190811,36.4982454761,1000,98.1820665967,16.5150190811,0.1,736.667742592,0.3
16.75,170.14599741,37.1365680685,1000,102.310821367,17.014599741,0.1,727.543181223,0.3
17,175.176489492,37.7466291102,1000,106.564471302,17.5176489492,0.1,718.259039206,0.3
17.25,180.233734532,38.3261115045,1000,110.94388354,18.0233734532,0.1,708.822381928,0.3
17.5,185.309419045,38.8727749311,1000,115.449726903,18.5309419045,0.1,699.240854052,0.3
17.75,190.394877302,39.3844746925,1000,120.082462379,19.0394877302,0.1,689.522660319,0.3
18,195.481124042,39.8591803039,1000,124.842334311,19.5481124042,0.1,679.676541646,0.3
18.25,200.558891017,40.294993558,1000,129.729362413,20.0558891017,0.1,669.71174657,0.3
18.5,205.618667131,40.6901657925,1000,134.743334688,20.5618667131,0.1,659.637998181,0.3
18.75,210.650741901,41.04311409,1000,139.883801366,21.0650741901,0.1,649.465456733,0.3
19,215.645251876,41.3524361499,1000,145.150069914,21.5645251876,0.1,639.20467821,0.3
19.25,220.592229617,41.6169235876,1000,150.541201211,22.0592229617,0.1,628.866569173,0.3
19.5,225.481654773,41.8355734348,1000,156.056006951,22.5481654773,0.1,618.462338276,0.3
19.75,230.303506763,42.0075976464,1000,161.69304832,23.0303506763,0.1,608.003444917,0.3
20,235.047818505,42.1324304473,1000,167.45063599,23.5047818505,0.1,597.501545505,0.3
20.25,239.704730654,42.2097333924,1000,173.326831452,23.9704730654,0.1,586.968437894,0.3
20.5,244.264545736,42.2393980516,1000,179.319449719,24.4264545736,0.1,576.416004545,0.3
20.75,248.717781606,42.2215462763,1000,185.426063362,24.8717781606,0.1,565.856155033,0.3
21,253.055223634,42.1565280444,1000,191.644007902,25.3055223634,0.1,555.300768463,0.3
21.25,257.267975055,42.0449169293,1000,197.970388493,25.7267975055,0.1,544.761636452,0.3
21.5,261.347504911,41.8875032773,1000,204.402087869,26.1347504911,0.1,534.25040722,0.3
21.75,265.285693107,41.6852852212,1000,210.935775492,26.5285693107,0.1,523.778531401,0.3
22,269.074872085,41.4394576921,1000,217.56791782,26.9074872085,0.1,513.357210095,0.3
22.25,272.707864706,41.1513996273,1000,224.294789622,27.2707864706,0.1,502.997345672,0.3
22.5,276.178017995,40.8226595963,1000,231.112486239,27.6178017995,0.1,492.709495766,0.3
22.75,279.479232444,40.4549400906,1000,238.016936689,27.9479232444,0.1,482.503830866,0.3
23,282.605986656,40.0500807367,1000,245.0039175,28.2605986656,0.1,472.390095844,0.3
23.25,285.553357173,39.6100407034,1000,252.069067167,28.5553357173,0.1,462.37757566,0.3
23.5,288.31703342,39.136880573,1000,259.207901096,28.831703342,0.1,452.475065484,0.3
23.75,290.893327728,38.6327439467,1000,266.415826932,29.0893327728,0.1,442.690845341,0.3
24,293.279180521,38.0998390423,1000,273.688160125,29.3279180521,0.1,433.032659354,0.3
24.25,295.472160769,37.5404205303,1000,281.020139638,29.5472160769,0.1,423.507699593,0.3
24.5,297.470461882,36.956771835,1000,288.406943657,29.7470461882,0.1,414.122594461,0.3
24.75,299.272893294,36.3511881042,1000,295.843705204,29.9272893294,0.1,404.883401502,0.3
25,300.878867988,35.7259600287,1000,303.325527537,30.0878867988,0.1,395.795604476,0.3
25.25,302.288386295,35.0833586635,1000,310.847499236,30.2288386295,0.1,386.864114469,0.3
25.5,303.502016304,34.425621376,1000,318.404708894,30.3502016304,0.1,378.093274803,0.3
25.75,304.52087124,33.7549390198,1000,325.992259301,30.452087124,0.1,369.486869459,0.3
26,305.346584214,33.0734444006,1000,333.605281082,30.5346584214,0.1,361.048134704,0.3
26.25,305.981280709,32.3832020806,1000,341.238945688,30.5981280709,0.1,352.779773604,0.3
26.5,306.427549211,31.6861995373,1000,348.888477705,30.6427549211,0.1,344.683973084,0.3
26.75,306.688410365,30.9843396725,1000,356.549166436,30.6688410365,0.1,336.762423199,0.3
27,306.767285024,30.2794346469,1000,364.216376695,30.6767285024,0.1,329.016338281,0.3
27.25,306.66796156,29.5732009967,1000,371.88555882,30.666796156,0.1,321.446479619,0.3
27.5,306.39456277,28.8672559739,1000,379.552257859,30.639456277,0.1,314.05317937,0.3
27.75,305.951512695,28.163115041,1000,387.212121929,30.5951512695,0.1,306.836365377,0.3
28,305.343503638,27.4621904378,1000,394.860909746,30.5343503638,0.1,299.795586616,0.3
28.25,304.575463656,26.7657907348,1000,402.494497337,30.4575463656,0.1,292.930039007,0.3
28.5,303.652524748,26.0751212807,1000,410.108883928,30.3652524748,0.1,286.238591323,0.3
28.75,302.57999195,25.3912854485,1000,417.700197047,30.257999195,0.1,279.719811003,0.3
29,301.363313513,24.715286586,1000,425.264696846,30.1363313513,0.1,273.371989641,0.3
29.25,300.008052322,24.0480305771,1000,432.798779684,30.0008052322,0.1,267.193167995,0.3
29.5,298.519858658,23.3903289216,1000,440.298980992,29.8519858658,0.1,261.18116035,0.3
29.75,296.904444422,22.7429022462,1000,447.761977458,29.6904444422,0.1,255.33357812,0.3
30,295.167558873,22.1063841653,1000,455.184588569,29.5167558873,0.1,249.647852558,0.3
30.25,293.314965943,21.4813254123,1000,462.56377754,29.3314965943,0.1,244.121256517,0.3
30.5,291.352423147,20.8681981725,1000,469.896651689,29.1352423147,0.1,238.750925164,0.3
30.75,289.285662112,20.2674005503,1000,477.180462268,28.9285662112,0.1,233.533875621,0.3
31,287.120370696,19.6792611146,1000,484.41260382,28.7120370696,0.1,228.467025483,0.3
31.25,284.862176708,19.1040434687,1000,491.590613088,28.4862176708,0.1,223.547210205,0.3
31.5,282.516633157,18.5419508006,1000,498.712167506,28.2516633157,0.1,218.771199337,0.3
31.75,280.089205028,17.9931303722,1000,505.775083334,28.0089205028,0.1,214.135711637,0.3
32,277.585257496,17.4576779166,1000,512.77731346,27.7585257496,0.1,209.637429044,0.3
32.25,275.010045537,16.9356419124,1000,519.716944898,27.5010045537,0.1,205.273009565,0.3
32.5,272.368704877,16.4270277144,1000,526.592196036,27.2368704877,0.1,201.039099087,0.3
32.75,269.666244184,15.9318015204,1000,533.401413658,26.9666244184,0.1,196.932342158,0.3
33,266.907538459,15.449894162,1000,540.143069763,26.6907538459,0.1,192.949391778,0.3
33.25,264.097323538,14.9812047068,1000,546.815758224,26.4097323538,0.1,189.086918238,0.3
33.5,261.240191627,14.5256038672,1000,553.418191312,26.1240191627,0.1,185.341617061,0.3
33.75,258.340587803,14.0829372107,1000,559.949196103,25.8340587803,0.1,181.710216094,0.3
34,255.40280741,13.6530281702,1000,566.407710798,25.540280741,0.1,178.189481792,0.3
34.25,252.430994268,13.2356808563,1000,572.792780983,25.2430994268,0.1,174.776224749,0.3
34.5,249.429139625,12.8306826732,1000,579.10355584,24.9429139625,0.1,171.467304535,0.3
34.75,246.401081803,12.4378067425,1000,585.339284331,24.6401081803,0.1,168.259633867,0.3
35,243.350506443,12.0568141419,1000,591.499311376,24.3350506443,0.1,165.150182181,0.3
35.25,240.280947318,11.687455963,1000,597.583074037,24.0280947318,0.1,162.135978646,0.3
35.5,237.195787625,11.329475198,1000,603.59009772,23.7195787625,0.1,159.214114655,0.3
35.75,234.098261734,10.9826084615,1000,609.51999241,23.4098261734,0.1,156.381745855,0.3
36,230.991457306,10.6465875563,1000,615.372448954,23.0991457306,0.1,153.63609374,0.3
36.25,227.878317763,10.3211408921,1000,621.147235386,22.7878317763,0.1,150.974446851,0.3
36.5,224.761645042,10.0059947646,1000,626.844193331,22.4761645042,0.1,148.394161628,0.3
36.75,221.644102607,9.70087450605,1000,632.463234457,22.1644102607,0.1,145.892662937,0.3
37,218.528218668,9.40550551259,1000,638.004337022,21.8528218668,0.1,143.46744431,0.3
37.25,215.41638958,9.11961415967,1000,643.467542488,21.541638958,0.1,141.116067932,0.3
37.5,212.31088338,8.84292861215,1000,648.852952228,21.231088338,0.1,138.836164392,0.3
37.75,209.213843448,8.57517953746,1000,654.160724312,20.9213843448,0.1,136.625432239,0.3
38,206.127292247,8.31610072945,1000,659.391070399,20.6127292247,0.1,134.481637355,0.3
38.25,203.053135123,8.06542965001,1000,664.544252705,20.3053135123,0.1,132.402612172,0.3
38.5,199.993164157,7.82290789561,1000,669.620581083,19.9993164157,0.1,130.38625476,0.3
38.75,196.949062027,7.58828159493,1000,674.620410187,19.6949062027,0.1,128.430527786,0.3
39,193.922405875,7.36130174407,1000,679.544136738,19.3922405875,0.1,126.533457387,0.3
39.25,190.914671164,7.14172448488,1000,684.392196884,19.0914671164,0.1,124.693131951,0.3
39.5,187.927235507,6.92931133183,1000,689.165063664,18.7927235507,0.1,122.90770083,0.3
39.75,184.961382452,6.72382935259,1000,693.863244551,18.4961382452,0.1,121.175372997,0.3
40,182.018305229,6.52505130675,1000,698.487279112,18.2018305229,0.1,119.494415659,0.3
40.25,179.099110425,6.33275574723,1000,703.037736743,17.9099110425,0.1,117.863152832,0.3
40.5,176.204821601,6.14672708818,1000,707.515214504,17.6204821601,0.1,116.279963895,0.3
40.75,173.336382833,5.96675564329,1000,711.920335044,17.3336382833,0.1,114.743282123,0.3
41,170.494662173,5.79263763759,1000,716.253744615,17.0494662173,0.1,113.251593212,0.3
41.25,167.680455028,5.62417519614,1000,720.516111169,16.7680455028,0.1,111.803433803,0.3
41.5,164.894487451,5.4611763122,1000,724.708122545,16.4894487451,0.1,110.397390004,0.3
41.75,162.137419343,5.3034547977,1000,728.830484731,16.2137419343,0.1,109.032095926,0.3
42,159.409847559,5.15083021811,1000,732.883920215,15.9409847559,0.1,107.706232227,0.3
42.25,156.712308924,5.00312781411,1000,736.869166403,15.6712308924,0.1,106.418524672,0.3
42.5,154.045283155,4.86017841175,1000,740.786974127,15.4045283155,0.1,105.167742719,0.3
42.75,151.409195679,4.7218183231,1000,744.638106205,15.1409195679,0.1,103.952698116,0.3
43,148.804420368,4.58788923873,1000,748.423336097,14.8804420368,0.1,102.772243535,0.3
43.25,146.231282168,4.45823811358,1000,752.143446607,14.6231282168,0.1,101.625271225,0.3
43.5,143.690059642,4.33271704752,1000,755.799228661,14.3690059642,0.1,100.510711697,0.3
43.75,141.180987413,4.21118316156,1000,759.391480152,14.1180987413,0.1,99.4275324348,0.3
44,138.704258518,4.09349847096,1000,762.921004837,13.8704258518,0.1,98.3747366445,0.3
44.25,136.260026673,3.97952975593,1000,766.3886113,13.6260026673,0.1,97.3513620267,0.3
44.5,133.848408445,3.86914843086,1000,769.795111967,13.3848408445,0.1,96.3564795877,0.3
44.75,131.469485342,3.76223041276,1000,773.141322178,13.1469485342,0.1,95.38919248,0.3
45,129.123305811,3.6586559894,1000,776.428059312,12.9123305811,0.1,94.4486348768,0.3
45.25,126.809887164,3.55830968796,1000,779.656141957,12.6809887164,0.1,93.5339708795,0.3
45.5,124.529217406,3.46108014431,1000,782.826389136,12.4529217406,0.1,92.6443934575,0.3
45.75,122.281257007,3.3668599737,1000,785.939619571,12.2281257007,0.1,91.7791234214,0.3
46,120.065940576,3.27554564292,1000,788.996650996,12.0065940576,0.1,90.937408428,0.3
