time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,predation rate,predator death rate,predator efficiency,prey birth rate,predation,predator births,predator deaths,prey births,Predator,Prey
0.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,40.0,0.4,8.0,50.0,20.0,100.0
0.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,37.105,0.37105000000000005,7.240000000000001,51.25,18.1,102.5
0.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,34.7433340028125,0.34743334002812504,6.553105000000001,53.018125,16.382762500000002,106.03625
0.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,32.8084018575304,0.328084018575304,5.932537834002813,55.302473874648435,14.831344585007033,110.60494774929687
1.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,31.21950318179002,0.3121950318179002,5.372092452460063,58.114232876788186,13.430231131150155,116.22846575357637
1.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,29.914889074733864,0.2991488907473387,4.866102710395847,61.476074088662955,12.165256775989615,122.95214817732591
1.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,28.84688166715154,0.2884688166715154,4.409407328430995,65.42122221540409,11.023518321077487,130.84244443080817
1.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,27.978402130953768,0.2797840213095377,3.9973134772550467,69.99301478393565,9.993283693137617,139.9860295678713
2.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,27.280472706602353,0.27280472706602354,3.6255605316604957,75.24484136555839,9.06390132915124,150.48968273111677
2.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,26.730402424965966,0.26730402424965966,3.2902849512010484,81.24038744792789,8.225712378002621,162.48077489585577
2.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,26.31045999375825,0.2631045999375825,2.9879868585059097,88.05413557579813,7.469967146264774,176.10827115159626
2.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,26.00689930823959,0.26006899308239595,2.715498632649077,95.7720950235531,6.788746581622692,191.5441900471062
3.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,25.80924465852823,0.2580924465852823,2.4699556686924087,104.4927444879673,6.174889171731022,208.9854889759346
3.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,25.70977110455776,0.2570977110455776,2.248769346481696,114.32818196664718,5.62192336620424,228.65636393329436
3.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,25.703135237411285,0.25703135237411284,2.049602182938084,125.40548332440835,5.12400545734521,250.8109666488167
3.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,25.78612560080034,0.2578612560080034,1.870345099881687,137.86827683528298,4.675862749704217,275.73655367056597
4.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,25.957512367759257,0.2595751236775926,1.7090967154943186,151.8785457395933,4.272741788735797,303.7570914791866
4.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,26.217983789849324,0.26217983789849325,1.5641445563126462,167.61867491107256,3.910361390781615,335.2373498221451
4.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,26.57016340823617,0.26570163408236175,1.433948084471231,185.29376130122546,3.584870211178077,370.5875226024509
4.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,27.01870775874121,0.2701870775874121,1.317123439432344,205.13421103784913,3.2928085985808595,410.26842207569825
